state,run,difficulty,gauge,range,length,gradient
KS,6. Lower (Ohiopyle to Bruner Run),III (for normal flows) ,usgs-03081500,1.20 - 9.00 ft,7.4 Miles,25 fpm
KS,5. Ohiopyle Falls ,IV (for normal flows) ,usgs-03081500,1.30 - 1.80 ft,0.25 Miles,""
